symptom,cnt
gustatory hallucinations of unknown taste,19
sensorium full,19
Questioning of spiritual values,19
no opinion,19
Excessive fears or worries or both,19
"difficulty using objects comb, knife etc.",19
result in self-inflicted injury,19
gastrointestinal disturbance,18
sexual disorder symptoms,18
not oriented to situation,18
behavior involving children,18
doobie,18
intellectually sharp,18
intolerance of several different foods,18
oriented to purpose,18
old-looking,18
discord with partner/spouse,18
female rejection of urinating a sitting position,18
easily influenced by others,18
"views self as socially inept, personally unappealing or inferior",18
not oriented to person,18
oriented to time,18
Hearing Impaired,18
rituals,18
fear of stealing things,18
forget food cooking,17
motor vehicle accident,17
burn self,17
failure to conform to social norms,17
enema abuse,17
difficulty swallowing,17
evasive,17
Limited or no access to computers,17
abnormal positioning of muscles head,17
Uncertain about career choice,17
avoidance of/ distress from- being on bridges,17
sexual symptom causes significant distress or interpersonal difficulty,17
full sensorium,17
Severe allergies,17
School Tardiness/Absenteeism,17
mathematical ability substantially below age/IQ expectations,17
lack of remorse,16
Bowel & bladder training,16
anxiety about- traveling in a train,16
Delivery Complications,16
kleptomania,16
single motor tic,16
relationship problems related to a mental disorder or general medical condition,16
blurred vision,16
bugs crawling on skin/scalp,15
Multiple Sclerosis,15
Social developmental delays,15
low energy (fatigue)--Depression Psychiatric Signs and Symptoms,15
motor tics of the truck,15
itch like sensation in ones scalp,15
Hepatitis with Hepatic Coma,15
transvestic fetishisms,15
anhedonia/reduced interest--Depression Psychiatric Signs and Symptoms,15
decided,15
threatening meaning in remarks/events,15
firm,15
"Migraine, classical (with aura)",14
pseudobulbar palsy,14
preoccupied with order,14
repeated wakening from sleep with frightening dreams,14
unsteadiness,14
increased blood pressure,14
addict,14
opioid use,14
does not eat regularly,14
preoccupied with organization,13
pedophilia,13
"difficult to control anxiety, worry, apprehension about a number of events or activities--Generalize",13
Search for specific sensory input i.      Examples: repetitive sensory activities such as swinging or jumping up and down on a bed,13
unreasonable,13
Failure to use spiritual resources,13
suspicious attitude,13
poor learning skills,13
Developmental delays,13
"Apparent lack of interest in exploring properties of object, playing challenging games, or engaging in social interactions",13
Poor motor planning and clumsiness   i.      Caused by a poorly developed body schema - a consequence of underreactivity to tactile and proprioceptive input,13
moist hands,13
Limited range of ideas and fantasies in everyday behavior or imaginative play,13
Discrimination,12
Unavailability of social service,12
"masochism, sexual",12
Illiteracy,12
olfactory hallucinations unspecified,12
Unprotected Sex,12
sensory deficit present,12
Other sexual problems,12
Pregnancies,12
hypoactive,12
frotteurism,12
anxiety/ avoidance of- interacting with opposite sex,12
pot,12
No legal guardian identified,12
Stopped Exercising,12
difficulty with interpersonal intimacy,12
behavior involving cross dressing,12
significant loss of play skills,12
guilty mood,12
lump in throat,11
intense arousal involving cross dressing,11
substance use by primary relationship,11
"unsanctioned, developmentally inappropriate eating of non-nutritive substances",11
preoccupation with castration,11
retired,11
avoid conscription,11
reckless disregard for safety of others,11
urge involving touching non-consenting person,11
abnormal positioning of muscles neck,11
hopeless--Depression Psychiatric Signs and Symptoms,11
pulls out own hair,11
intense arousal to expose one's self,11
stays out at night despite parental prohibitions,11
Unavailability of social service agencies,11
fear of losing ones mind,11
dirty,11
Unsupportive family,11
Grade level inappropriate,11
failure to finish school work,11
dysgraphia,11
gratification,11
sexual disorder,10
Stopped exercising,10
fully conscious,10
sexual thoughts about homosexuality,10
failure to give close attention to details,10
Physically impaired,10
fear and anxiety/avoidance- of receiving an injection,10
over exercising,10
non-functional routines,10
spasm of vagina,10
Suicidal thoughts Not Present,10
inadequate genital lubrication,10
fantasies of grandeur,10
believes others are exploiting him/her,10
inhibited,10
motor stereotypies,10
anxiety about- being on bridges,10
The child shows significant growth deficiency.,10
"elevated, expansive mood--Mania Psychiatric Signs and Symptoms",10
fantasies with fire,10
sexually transmitted disease,10
persistent and excessive worry about events leading to separation,10
diminished interest--Depression Psychiatric Signs and Symptoms,10
Brain Tumors,9
discomfort with sexual identity,9
racketeering,9
overly abstract,9
other substance,9
anxiety/worries about competence or performance--Generalized Anxiety Signs and Symptoms,9
Difficulty with acculturation,9
severe psychomotor retardation,9
anxiety/worries about future events--Generalized Anxiety Signs and Symptoms,9
Visually  Impaired,9
Disc Disease (thoracic or lumbar),9
cannabis use,9
loss of libido,9
preoccupied with rules,9
anxiety/ avoidance of- performance in public,9
indecisiveness--Depression Psychiatric Signs and Symptoms,9
extensive guilt--Depression Psychiatric Signs and Symptoms,9
fragile X syndrome,9
intoxication,9
muttering,9
recurrent/ distressing event recollection,9
poor abstracting ability,9
planning,8
financial neglect of a child,8
reduced affect,8
Cooperative Attitude,8
repetitive nonfunctional motor movement,8
tachycardia or bradycardia,8
non-compliance secondary to religious beliefs,8
Current Legal Involvement,8
evidence that the etiology is due to alcohol,8
HIV Infection,8
Good Eye Contact,8
Inadequate furniture,8
Inadequate health insurance,8
helpless--Depression Psychiatric Signs and Symptoms,8
disheveled/inappropriate attire--Thought Disorders Psychiatric Signs and Symptoms,8
serotonin syndrome,8
irritable--Depression Psychiatric Signs and Symptoms,8
phobia symptoms,8
Addison's Disease,8
alogia (poverty of speech)--Thought Disorders Psychiatric Signs and Symptoms,8
"loss of interest, pervasive--Depression Psychiatric Signs and Symptoms",8
grossly disorganized behavior--Thought Disorders Behavioral Signs and Symptoms,8
female assertion that it would be better to have penis,8
job loss associated with psychoactive substances,8
non-spontaneous speech,8
hallucinations--Thought Disorders Psychiatric Signs and Symptoms,8
delusions--Thought Disorders Psychiatric Signs and Symptoms,8
decreased blood pressure,8
Enduring deviation of affective lability,8
Cystic fibrosis,8
decreased libido--Depression Psychiatric Signs and Symptoms,8
intense desire involving cross dressing,8
words applied in unusual ways,8
worthlessness--Depression Psychiatric Signs and Symptoms,8
consonant substitutions,8
Exposure to an STD,8
diaphoresis,8
inappropriately runs about,7
Enduring pattern causes distress,7
Discord with physician,7
unsafe to care for self,7
delivery complications,7
self-reproach,7
Speech and Language Delays,7
responsibility,7
initial euphoria,7
regress,7
transexualism,7
behavior involving touching non-consenting person,7
hostile,7
absence of orgasm following sexual excitement phase,7
Self-stimulation and rhythmic behavior; both under- and over- reactivity,7
impaired communication,7
persecutory delusions--Thought Disorders Psychiatric Signs and Symptoms,7
bad attitude,7
impaired safety skills,7
folie a deux,7
jamai vu,7
difficulty living at home,7
apathetic attitude,7
paranoid delusions--Thought Disorders Psychiatric Signs and Symptoms,7
loss of adaptive behavior,7
Repeated grade,7
Run out of medications,7
mouthing objects,7
decease ability to spell,7
responsible for other actions,7
auditory hallucinations of multiple voice--Thought Disorders Psychiatric Signs and Symptoms,7
vomiting during pregnancy,6
Borderline Intellectual Functioning,6
abnormal speech fluency,6
anxiety/worries about past behavior--Generalized Anxiety Signs and Symptoms,6
The food refusal is not due to an underlying medical illness.,6
impaired health practices,6
pulls out one hair,6
exposure to hostility,6
insecure in oneself,6
believe others are harming him/her,6
intense urges involving psychological or physical suffering of the victim is sexually exciting,6
Rampant drug us in neighborhood,6
relief,6
difficulty falling or staying asleep--Generalized Anxiety Signs and Symptoms,6
Sufficient degree of interpersonal problems,6
Average Intelligence,6
forget schooling,6
reckless disregard for safety of self,6
"showering, bathing",6
chills,6
The infant or young child refused to eat adequate amounts of food for at least 1 month.,6
The food refusal does not follow a traumatic event.,6
labile blood pressure,6
Insight Intact,6
sudden unexpected travel away from home or place of work,6
two or more identities/ personalities,6
anxiety--Thought Disorders Psychiatric Signs and Symptoms,6
intersex conditions,6
Onset of the food refusal occurs before the child is 3 years old.,6
Does not complete class work/homework assignments,6
uncooperative attitude,6
fear of gaining weight--Eating Disorders Signs and Symptoms,6
macroglossia,6
Violent thoughts Not Present,6
Oxygen Needed at Birth,6
fear of becoming fat--Eating Disorders Signs and Symptoms,6
sundowning,6
abnormal spasms of muscles head,6
annoyed,6
two or more of these identities/ personalities control one's behavior,6
Concentration Intact,6
Enduring cognitive deviation of self,6
emotionally abusive,6
"The infant or young child does not communicate hunger and lacks interest in food but shows strong interest in exploration, interaction with caregiver, or both.",6
undue influence of body weight or shape  on self-evaluation--Eating Disorders Signs and Symptoms,6
dysarthria,6
Spouses Health,5
Lack of sex education,5
menstrual symptoms,5
believes others are deceiving him/her,5
Overworked Juvenile Protective Officers,5
muscular rigidity,5
Intact Recent Memory,5
"pleasure, gratification relief at time of theft",5
other personality traits affecting the medical condition,5
Enduring pattern causes professional impairment,5
collision,5
reading difficulties,5
ability to work,5
mood incongruent psychosis,5
decrease concentration--Depression Psychiatric Signs and Symptoms,5
humiliate,5
anger--Thought Disorders Psychiatric Signs and Symptoms,5
behavior involving masochism,5
Intact Immediate Memory,5
unsupported by primary relationship,5
suicidal intent--Depression Psychiatric Signs and Symptoms,5
numbing/ detachment,5
checking that nothing terrible did / will happen,5
intact digit span/attention,5
Inadequate school environment,5
failure to resist impulses impulse to steal objects--Impulse-Control Signs and Symptoms,5
dysomnia,5
bizarre delusions--Thought Disorders Psychiatric Signs and Symptoms,5
tachycardia or arrhythmia,5
depressed reflexes,5
fear and anxiety/ avoidance- of flying,5
difficulty disagreeing with others,5
monotone,5
bodily illusions,5
caretaker physical abuse,5
Suicidal thoughts No Plan,5
circumstantial,5
Migraine (idiopathic),5
interrupts or intrudes on others,4
repeated insistence that they are other sex,4
changes in level of consciousness,4
unreserved,4
loose speech,4
used a weapon,4
indifferent to injury of others,4
disagreements,4
violent/homicidal intent,4
enrage,4
intact recent memory,4
Special classes,4
anxiety/worries about money--Generalized Anxiety Signs and Symptoms,4
psychological factors associated with symptoms,4
learning Disability,4
Questioning of faith,4
annoyance,4
DUI/DWI,4
stupor/drowsiness,4
decreased ability to communicate (adult),4
cultural problems,4
bears grudges,4
intense urges involving cross dressing,4
persistently and excessive worry about events leading to separation,4
grudge,4
has been continent of feces at some time,4
paraphilia,4
red eyes,4
Inadequate healthcare services,4
significant loss of social skills,4
weed,4
Insufficient physical activity,4
Concussion with no LOC,4
often does not follow through on instructions--Attention-Deficit and Hyperactivity Signs and Symptom,4
arrhythmia,4
Lack of special education programs,4
stuttering,4
intact remote memory,4
concentration intact,4
mannerism,4
idealistic,4
Chaotic atmosphere at home,4
low self-esteem--Depression Psychiatric Signs and Symptoms,4
housing problems,4
Inappropriate internet access,4
Enduring deviation of impulse control,4
belief in clairvoyance,4
other or unknown sexual symptom,3
Intact Remote Memory,3
"terrible occurrences if things are not """"just right""""",3
combativeness,3
evidence that the etiology is due to the persisting effects of opioid,3
rambling thought,3
easily fatigued--Generalized Anxiety Signs and Symptoms,3
Thyroiditis,3
behavior or appearance that  is odd eccentric or peculiar,3
inappropriately climbs excessively,3
elevate blood pressure,3
sedative-hypnotic use,3
shoplifted,3
awake,3
envious,3
evidence that other or unknown substance is the etiology of disturbance,3
Lethargy,3
reluctance or refusal to go elsewhere for fear of separation,3
Arrest,3
squirms in seat,3
excessive anxiety and worry--Generalized Anxiety Signs and Symptoms,3
acknowledges problem,3
Difficulties with Reading,3
harsh/punitive caretaker discipline,3
recurrent dreams/ nightmares reliving trauma- flashbacks,3
unspecified symptom,3
abnormal positioning of muscles limb,3
good planning ability,3
IQ Level 20-25 to 35-40,3
high frequency loss,3
DWI,3
judgment intact,3
autistic behavior,3
inappropriately leaves seat,3
No identifiable emergency contacts,3
threats of survival,3
sleep disruption--Dyssomnias Signs and Symptoms,3
difficulty sustaining attention in play activities,3
eye deviation,3
recent ingestion of hallucinogen,3
Inadequate transportation,3
secondary gain,3
Judgment Intact,3
Insight Good,3
Enduring pattern causes social impairment,3
sob,3
anxiety/ avoidance of- entering a room,3
"reduced ability to focus, sustain attention",3
ability to do clock face,3
separation fear,3
jealous,3
Enduring deviation of interpersonal functioning,3
often actively defies adults' requests/rules--Disruptive Disorders Signs and Symptoms,2
provoke,2
often forgetful in daily activities--Attention-Deficit and Hyperactivity Signs and Symptoms,2
"often ""on the go"" /  acts as if ""driven by a motor""--Attention-Deficit and Hyperactivity Signs and S",2
failure to finish chores,2
Oriented to time,2
The Infant or young child shows intense resistance to swallowing food placed in her mouth.,2
"acts as if ""driven by a motor""",2
Victim of crime,2
No Homicidal Ideation,2
ejaculation with minimal stimulation before or shortly after penetration and before the person wishes it,2
avoidance of/distress from- traveling in a train,2
"evidence that etiology is due to the persisting effects of sedative, hypnotic, or anxiolytic",2
poor concentration--Generalized Anxiety Signs and Symptoms,2
unusual/idiosyncratic sentence construction,2
Academic Stressors,2
Breaking and Entering,2
Thought Process Logical Directed,2
magical control over others,2
Normal Speech,2
Oriented to person,2
EEG generalized slowing,2
evidence that the etiology is due to opioid intoxication,2
difficulty playing quietly,2
Verbal Skills Impaired,2
helpless/ uncomfortable when alone,2
often fidgets with hands/feet--Attention-Deficit and Hyperactivity Signs and Symptoms,2
sensing another person is present,2
new job,2
Lives on street,2
impaired self-direction,2
significant loss of adaptive behavior skills,2
Difficulties with Mathematics,2
repeated wakening form sleep with frightening dreams,2
hot,2
"pattern inflexibility, lack of openness to new things",2
scatologia,2
dlrow incorrect,2
libido is decreased,2
"groping, picking",2
olfactory hallucinations of flower smell,2
doubts about trustworthiness/loyalty of friends,2
premature ejaculation causes significant distress or interpersonal difficulty,2
vaginismus causes significant distress or interpersonal difficulty,2
intact immediate memory,2
Normal Cognition,2
dyskinesia,2
Distressing experience involving faith,2
parkinsonism not associated with neuroleptic,2
Never married,2
special Classes,2
thoughts of death--Depression Psychiatric Signs and Symptoms,2
bad mood,2
often has difficulty organizing tasks/activities--Attention-Deficit and Hyperactivity Signs and Symp,2
self-contemptuous affect,2
barbiturates,2
often angry and resentful--Disruptive Disorders Signs and Symptoms,2
evidence that the etiology is due to alcohol intoxication,2
Age Related Cognitive Decline,2
Appropriate Affect,2
amenorrhea,2
frightened,2
crying spells--Depression Behavioral Signs and Symptoms,2
remarriage of parent causing problems,2
Other birth complications,2
Rh Incompatibility,2
unusual/idiosyncratic phrasing,2
Other crimes,2
tics,2
necrophilia,2
incoherence--Thought Disorders Psychiatric Signs and Symptoms,2
rigid,2
Oriented to place,2
acute dystonia,2
dysarthic speech,2
Special Classes,2
Illiteracy family,2
Oriented to purpose,2
Unaffordable fees for little league,2
haughty,2
Muscular Dystrophy,2
other or unspecified factor affecting medical condition,2
decreased organizational skills,2
Poor Grades,2
remorse,2
Well Groomed,2
often argues with adults--Disruptive Disorders Signs and Symptoms,2
elevated temperature,2
recent cessation or reduction of alcohol that has been heavy and prolonged,2
irritable mood--Mania Psychiatric Signs and Symptoms,2
disorganized speech--Thought Disorders Psychiatric Signs and Symptoms,2
affective instability--Personality Disorder Cluster B Signs and Symptoms,2
often loses temper--Disruptive Disorders Signs and Symptoms,2
Limited English proficiency,2
depression worse in a.m.--Depression Psychiatric Signs and Symptoms,2
Medication,2
arrest,2
Interpersonal Stress,2
aphonia--Somatic Physical Signs and Symptoms,2
Maternal substance abuse,2
Uncertain about group loyality,2
Enduring deviation of affective appropriateness,2
coprophilia,2
recurrent involuntary spasm of musculature of vagina that interferes with intercourse,2
hyper-vigilant in social situations,2
recent cessation or reduction of opioid that has been heavy and prolonged,2
"emotional coldness,  detachment, flattened affect",2
conceited,2
Congenital Diagnosis,2
Intrusive thoughts/hyper vigilance,2
exacerbation of ulcers,2
nonbizarre delusions,2
The child refuses all oral feedings,2
"insomnia, initial--Depression Psychiatric Signs and Symptoms",1
failure to resist impulses impulse to steal objects,1
preoccupied with lists,1
use of false names for profit/pleasure,1
Suicidal thoughts No Intent,1
less need for sleep--Mania Behavioral Signs and Symptoms,1
Disruption of family by estrangement,1
Awaiting DD waiver,1
unknown taste,1
Lack of school activities,1
person rapidly become oriented and alert,1
inappropriate guilt--Depression Psychiatric Signs and Symptoms,1
vasovagal,1
consumption of large quantities--Substance Use Signs and Symptoms,1
Violent thoughts No Intent,1
Illiteracy Client,1
recent ingestion of alcohol,1
difficulty initiating or sequencing activities--Dementia Behavioral Signs and Symptoms,1
more talkative--Mania Behavioral Signs and Symptoms,1
calling out,1
personality change irritable--Dementia Psychiatric Signs and Symptoms,1
suicidal ideatio,1
concussion with LOC < 24 hours,1
"loss of interest, partial--Depression Psychiatric Signs and Symptoms",1
Stopped hobbies,1
Head injuries,1
passionate,1
Fire setting,1
poor sequencing ability,1
sequencing,1
tardive dystonia,1
unavailability of social service agencies,1
Sensorium Full,1
codeine,1
Divorced,1
Behavioral Problems,1
Memory 3/3 at 1' & 3/3 at 3',1
EPS,1
rebellious,1
Adrenal cortical steroids,1
swea,1
rigidity,1
unknown etiology,1
obese,1
elated,1
Psychomotor Normal,1
theatrical,1
burning smell,1
urophilia,1
rationalizing injury to others,1
Foster home,1
altered level of consciousness,1
fantasies involving touching a non-consenting person,1
perspiration,1
dementia with absence of other psychiatric symptoms,1
Rampant drug us at work,1
insomnia--Depression Psychiatric Signs and Symptoms,1
cursing,1
persistent and excessive worry about untoward event's) befalling child and leading to separation,1
Murder,1
Citizenship Not Clear,1
Failure to use cultural resources,1
anxiety about- being outside the home alone--Phobias Signs and Symptoms,1
self-inflicted bodily injury resulting from motor mannerisms,1
olfactory hallucinations of human smell,1
aggravating,1
Gross Motor Skills Impaired,1
sleep walking- amnesia for episode,1
avoidance of/ distress from- standing in a line,1
Must register as a sex offender or violent offender,1
closed head injury,1
Problems with starting a new career,1
Enduring deviation of affective intensity,1
Memory Intact,1
fatique or loss of energy nearly every day,1
racing thoughts--Mania Psychiatric Signs and Symptoms,1
delay/ absence of orgasm,1
Problems associated with retirement,1
random destruction,1
Judgment Age appropriate,1
"disorientation time, place or person--Delirium Psychiatric Signs and Symptoms",1
Sexually dissatisfied,1
no maladaptive pattern of substance use,1
omissions of sounds,1
Stated Age,1
fantasies involving children,1
Able to contract for safety,1
incontinence,1
avoid stimuli about trauma- conversation,1
fear of infidelity of spouse,1
hard stuff,1
Delivery complications,1
Partner infidelity,1
Absence of addiction services,1
psychological symptoms,1
intense fear on waking,1
memory impairment--Dementia Psychiatric Signs and Symptoms,1
The infant or young child resists intensely when a caregiver approaches with a bottle or food.,1
H,1
poor judgment--Mania Psychiatric Signs and Symptoms,1
fentanyl,1
avoids tasks requiring sustained mental effort,1
erotomania delusions,1
formed,1
Violent thoughts No Plan,1
anxiety/ avoidance of- being heard by others while speaking on phone,1
deliberately destroyed other's property,1
visual hallucinations--Thought Disorders Psychiatric Signs and Symptoms,1
"failure to fulfill obligation at home, school or wor",1
odd beliefs,1
behavior of exposing self,1
unpredictability,1
Oriented to situation,1
hyperacusis,1
"insomnia, terminal--Depression Psychiatric Signs and Symptoms",1
Weapons in the home,1
bowel or bladder continence,1
poor concentration--Depression Psychiatric Signs and Symptoms,1
Maternal alcohol abuse,1
confusion and disorientation on awakening,1
lack of Vocational skills,1
kicked out of school,1
loss of touch/ pain sensations,1
High Risk Sexual Behavior,1
Parkinson's Disease,1
Alzheimer's disease,1
intentional production of false physical or psychological symptoms,1
intense behaviors involving cross dressing,1
delusions--Delirium Psychiatric Signs and Symptoms,1
easily influenced by circumstances,1
career plans,1
sleep walking- other,1
Difficulties with mathematics,1
hallucinations visual--Delirium Psychiatric Signs and Symptoms,1
,0
