symptom,cnt,cluster
avoidance of  distress from  being outside the home alone,89,190
anxiety  avoidance of  eating in front of others,25,190
anxiety about  traveling in a train,16,190
anxiety about heights,70,190
anxiety about seeing blood,36,190
anxiety about traveling in trains,41,190
anxiety about flying,21,190
limited vocabulary,3243,191
limited expressive or receptive language skills,2380,191
delay in age began using communicative phrases,1830,191
limited varieties of grammatical structure,803,191
limited speech,2903,191
unusual idiosyncratic sentence construction,2,191
unusual idiosyncratic phrasing,2,191
limited resources for payment,1987,191
idiosyncratic language,623,191
limited varieties of sentence types,862,191
consistent failure to speak in social situations,4044,192
impulsivity of failure to plan ahead,17975,192
failure to conform to social norms repeated unlawful acts,20917,192
impulsivity,7558,192
consistent irresponsibility repeated failure to honor financial obligations,11822,192
persistent failure to initiate or respond to appropriately to most social interactions,13104,192
diffuse impulsivity,415,192
failure to use developmentally expected speech sounds that are appropriate for chronological age,3561,192
words applied in unusual ways,8,193
delay absence of orgasm,113,193
delay in age at beginning of crawling bottom shuffling,600,193
delay in age began using single words,1217,193
delay in age able to sit up,415,193
delay in age began walking,446,193
words produced with excess physical tension,1749,193
delay in age began babbling,690,193
pain location low back,78,194
pain head  face  mouth,142,194
terrible occurrences if things are not   just right  ,3,194
right lower quadrant pain,114,194
muscle weakness  respiratory depression  chest pain  or cardiac arrhythmias,60,194
feelings of emptiness,25,194
sexual intercourse pain,134,194
feelings of sexual inadequacy,111,194
feelings of emptiness and loneliness,106,194
muscle twitching,39,194
forbidden perverse sexual thoughts  images  impulses,117,194
two or more identities personalities,143,195
two or more of these identities personalities control ones behavior,5555,195
patient has two or more identities personalities,5826,195
patient lives in unfavorable environment,4203,195
mslt two or more naps during five nap mslt,104,195
multiple identities,817,195
multiple personalities,877,195
two or more identities  personalities,6,195
sleep disruption leading to hypersomnia or insomnia,2877,196
sleep deprivation,1197,196
sleep disturbance unspecified,1886,196
less need for sleep,6100,196
sleep paralysis,1103,196
sleep disruption,54108,196
sleep drunkenness,1910,196
sleep is disrupted  ,1028,196
sleep disturbance  difficulty falling or staying asleep or restless  unsatisfying sleep  ,20053,196
sleep changes,3272,196
daily attacks of sleep,3306,196
misinterpretations,38,197
sound substitutions,7086,197
omissions of sounds,1,197
consonant substitutions,8,197
sound omissions,5884,197
sound and syllable repetitions,3831,197
sound distortions,8133,197
sound prolongations,4708,197
errors in selection and ordering of sounds,2929,197
errors in sound production  use  representation,2459,197
phase of life problem,100,198
no neonatal problems,2094,198
problems with peers,1417,198
problems associated with divorce,1432,198
problems associated marriage,2070,198
no marital problems,2685,198
problems associated with divorce,2991,198
divorce impending divorce separation,13939,198
problems with entering school,1104,198
other phase of life problems,1299,198
no neonatal problems pregnancy,992,198
no developmental problems,2204,198
no environmental problems,2026,198
halos around objects,501,199
forgets names of objects  anomia ,178,199
mouthing objects,7,199
preoccupation with substance,15554,199
macropsia,502,199
images of moving objects,513,199
after images,502,199
preoccupation with parts of objects,28341,199
repeated voiding of urine into bed or clothes  voluntarily or involuntarily ,5741,200
repeated nightmares  content may or may not be linked to the traumatic event,2666,200
repeated desire to be other sex,2024,200
repeated nightmares involving separation theme,4836,200
repeated passage of feces into inappropriate places  voluntarily or involuntarily ,4180,200
repeated complaints of physical symptoms in anticipation of separation,8095,200
repeated arrests for breaking the law,3474,200
broke into someone s house building car,20295,201
lives on street,2,201
lives in a shelter,1494,201
lives on street,499,201
patient lives in unfavorable environment,910,201
no longer lives in community of origin,35,201
homeless,5368,201
lives on street,5388,201
grandiose behavior,138,202
subsequent development of stereotyped hand movements,49,202
acting out child,53,202
the child fails to gain adequate weight or may even lose weight ,88,202
no severe disturbance in eating behavior,119,202
grandiose,63,202
compensatory behavior to prevent weight gain,116,202
severe allergies,17,202
severe psychomotor retardation,9,202
other compensatory behavior to prevent weight gain,64,202
anger out of proportion to precipitating stressors,2123,203
irritability or tantrumming ,1623,203
irritability out burst of anger,53094,203
irritability  frustration or anger,5002,203
irritable affect,913,203
frequent periods of irritability and tearfulness,543,203
anger behavior is out of proportion to precipitating stressors,41270,203
anger,12822,203
irritable and aggressive   physical fights  inappropriate anger ,21790,203
irritable angry,3229,203
elevated mood,5817,204
dysphoric or depressed mood,6165,204
mood lability,74279,204
irritable mood,34658,204
despairing,1173,204
angry mood,1394,204
sad,443,204
depressed mood,1945227,204
depressed,2109,204
despairing mood,2129,204
elevated  expansive mood,4983,204
expansive,104,204
elevated bun,855,204
expansive affect,716,204
expansive mood,8141,204
angry,395,204
depressed affect,914,204
sad mood,20308,204
absence of orgasm following sexual excitement phase,7,205
memory impairment  dementia psychiatric signs and symptoms,1,205
absence of addiction services,1,205
extreme aversion and avoidance of genital sexual contact with a partner,25,205
persistent aversion avoidance of sexual contact,25,205
persistent and excessive worry about events leading to separation,10,205
delay  absence of orgasm,1,205
dementia with absence of other psychiatric symptoms,1,205
impaired communication,7,206
impaired safety skills,7,206
gross motor skills impaired,1,206
overly abstract,9,206
verbal skills impaired,2,206
overly concrete,47,206
impaired self direction,2,206
scatologia,2,206
pattern inflexibility  lack of openness to new things,2,206
impaired health practices,6,206
overly familiar behavior and reduced or absent reticence around unfamiliar adults ,306,206
no maladaptive pattern of substance use,1,206
acute non life threatening med condition,2303,207
non compliance secondary to coping styles,13476,207
non compliance secondary to other reason,13263,207
non compliance secondary to denial of illness,3405,207
non compliance secondary to personal values,7981,207
eating other non nutritional items,6274,207
chronic non life threatening med condition,8114,207
eating manufactured objects,5975,207
eating more than normal,1352,207
non compliance with treatment,38899,207
chronic life threatening med condition,6812,207
non compliance secondary to personality traits,10514,207
over eating,2869,207
job loss associated with psychoactive substances,8,208
often  on the go     acts as if  driven by a motor ,52,208
loss of interest  partial  depression psychiatric signs and symptoms,1,208
high frequency loss,3,208
loss of adaptive behavior,7,208
loss of interest  pervasive  depression psychiatric signs and symptoms,8,208
new job,2,208
often defies requests rules,31,208
mathematical ability substantially below age iq expectations,17,208
fatique or loss of energy nearly every day,1,208
problems associated with retirement,1,208
problems with starting a new career,1,208
emotional neglect,20629,209
financial indiscretion,3955,209
behind in loan payments,6097,209
financial,35268,209
financial neglect,6098,209
neglect obligations due to aod,79285,209
behind in loan payments,718,209
other child neglect,23398,209
no financial stressors,1713,209
parkinsonism not associated with neuroleptic,2,210
special classes,2,210
special classes,5367,210
can only be understood by special people,711,210
special classes,2,210
believes he is special and can only be associated with other special people,3554,210
can only be associated with special people,308,210
failing grades,3130,210
special classes,4,210
lack of after school programs,55,211
lack of family planning,88,211
lack of psychologist,73,211
lack of legal representation,66,211
lack of vocational skills,53,211
lack of emotional reciprocity,123,211
lack of self,59,211
difficulties with mathematics,2,212
impaired social or occupational functioning,358,212
reading difficulties,5,212
reading achievement as measured by standardized test is substantially below age iq expectations,42,212
difficulties with mathematics,1,212
difficulties with reading,3,212
written achievement as measured by standardized test is substantially below age iq expectations,32,212
difficulties with reading,23,212
behavior involving masochism,5,213
other sexual problems,12,213
significant weight gain significant weight loss,52,213
significant loss of play skills,12,213
autistic behavior,3,213
behavior or appearance that  is odd eccentric or peculiar,3,213
sexual aversion causes significant distress or interpersonal difficulty,31,213
masochism  sexual,12,213
sexual symptom causes significant distress or interpersonal difficulty,17,213
sexual disorder,10,213
sexual thoughts about homosexuality,10,213
discomfort with sexual identity,9,213
hypoarousal causes significant distress or interpersonal difficulty,40,213
dyspareunia causes significant distress or interpersonal difficulty,44,213
fear is marked  persistent  and excessive,516,214
limited positive affect and excessive levels of irritability  sadness  or fear ,473,214
persistent or excessive fear or reluctance to be alone or without major attachment figures at home or without significant adults in other settings ,520,214
fear of losing control,306,214
limited communication,387,214
fear and anxiety avoidance  other,223,214
fear of not saying just the right thing,270,214
fear cued by specific situation or object,193,214
fear and anxiety  avoidance  of heights,242,214
dysarthria,6,215
apraxia,4537,215
other tardive dyskinesia symptoms,547,215
bradykinesia,110,215
hemiplegia,835,215
dysgraphia,11,215
coprolalia,2640,215
tardive dyskinesia,105,215
aphasia,7029,215
echolalia or echopraxia,326,215
agnosia,4161,215
ataxia,20,215
other phonological symptoms,7171,215
echolalia,44,215
tardive dystonia,1,215
dysphasia,42,215
depression worse in a m ,4744,216
major depression,1288,216
insomnia  terminal  depression psychiatric signs and symptoms,1,216
depression,51335,216
insomnia  depression psychiatric signs and symptoms,1,216
respiratory depression,100,216
major depression symptoms,1017,216
difficult,42,217
difficult work conditions,638,217
difficult to control worry,107,217
difficult adjustment to life phase transition,731,217
difficult to control anxiety  worry  apprehension,874,217
inability to initiate a conversation,1103,218
inability to recall previous information,81,218
inability to recall personal information,69,218
inability to recall personal information of ones past,221,218
inability to sit still,4317,218
inability to recall personal information two extensive to be explained by forgetfulness,5182,218
inability to attain or maintain adequate erection during sexual activity,321,218
inability to learn new information,26,218
inability to pay for medications,90,218
inability to access healthcare resources,378,218
passage of feces in inappropriate places,6049,219
unreasonable,13,219
inappropriate affect,6604,219
inappropriate aggressive behavior,5228,219
inappropriate anger,3252,219
irrational,381,219
inappropriate or constricted affect,5640,219
inappropriate intense anger,98967,219
insensitive,38,219
inappropriate guilt,7165,219
irresponsible,5445,219
questioning of faith,4,220
questioning of spiritual values,19,220
conversion to a new faith,100,220
shifting values,409,220
questioning of faith,113,220
shifting opinions,344,220
questioning of spiritual values,44,220
lack of cooperation during diagnostic exam,745,221
feels others do not accept or value customs or values of importance to patient,166,221
lack of privacy at home,831,221
lack of attendance,328,221
lack of pleasure,555,221
lack of exercise,223,221
lack of supervision by caretakers,364,221
lack of welfare support,753,221
subjective complaints of restlessness,4779,222
restlessness,41162,222
on edge,938,222
restlessness or feelings ikeyed upi or ion edge i,1349,222
restlessness  keyed up  on edge,365821,222
digressive vague speech,104,223
loud speech,145,223
halting speech,84,223
incoherent speech,37,223
rambling speech,2083,223
pressured speech,12601,223
staccato speech,53,223
stuttering,4,223
stuttering speech,65,223
slurred speech,21827,223
disorganized speech,229410,223
anticipatory anxiety  other,7369,224
intense anxiety,6504,224
anxiety about being in places where escape is impossible,48012,224
anxiety worries about money,8320,224
anxiety worries about future events,15113,224
anxiety about  other,8869,224
anxiety worries about competence or performance,7134,224
other anxieties worries,2116,224
anxiety worries about past behavior,6171,224
difficult to control anxiety  worry  apprehension about a number of events or activities,261224,224
repetitive use of language,2034,225
restricted play repertoire,449,225
restricted range of affect ,1920,225
restricted tolerance for variety in food textures  tastes and smells,467,225
no repetitive behaviors,140,225
stereotyped use of language,10116,225
unusually repetitive,561,225
restricted  repetitive and stereotyped patterns of behavior interest and activities,2467,225
pervasive pattern of detachment from social relationships and restricted range of affect,23117,226
pervasive pattern with orderliness  perfection and interpersonal control,10056,226
pervasive pattern of social inhibition  feeling of inadequacy,38573,226
pervasive pattern of grandiosity emotion and attention seeking,15228,226
pervasive pattern of disregard for other rights,15219,226
pervasive pattern of excessive emotion and attention seeking,24486,226
pervasive distrust and suspiciousness of others beginning by early adulthood,1788,226
pervasive pattern of wanting to be taken care of that leads to clinging behavior and fear of separation,17913,226
adult antisocial behavior,114,227
dependent behavior,102,227
negativistic behavior  examples  persistent fussiness  reflexive negative responses to parental requests or frequent angry outbursts  including tantrums,338,227
behavior involving sadism,34,227
stereotyped amphetamine behavior,113,227
avoidant behavior,38,227
behavior involving children,18,227
behavior involving cross dressing,12,227
clinging behavior,194,227
histrionics behavior,20,227
frequent organization of behavior  beginnings of integration,26,227
addicted to a substance,1744,228
peer pressure encouraging substance abuse,9121,228
negative attitude,289,228
other substance symptoms,1015,228
negative peer relationships,4597,228
substance related disorder symptoms,3634,228
addicted,241,228
peer pressure encouraging substance abuse,3273,228
maternal substance abuse,711,228
substance dependence,1218,228
muscular dystrophy,2,229
muscular rigidity,5,229
rigidity and stubbornness,37,229
rigid posture,100,229
rigidity,1,229
overly conscientious  scrupulous  inflexible about morality values,3249,229
inflexible,125,229
rigid,2,229
inflexible  rigid  and stubborn,5593,229
other stereotyped and repetitive motor mannerisms,42,230
stereotyped  behavior,20,230
preoccupation with castration,11,230
stereotyped cocaine behavior,27,230
preoccupation with stereotyped and restricted patterns of interest,24,230
clinging behavior and fear of separation,187,230
restricted  repetitive and stereotyped behaviors  interests  and activities,20,230
learning disability,5372,231
disability,11660,231
disability,534,231
learning disability,270,231
disability of mobility  standing  walking  etc  ,1615,231
repeated wakening from sleep with frightening dreams,14,232
repeated grade,7,232
fantasies involving touching a non consenting person,1,232
do not meet criteria for panic,39,232
fantasies involving children,1,232
sleep walking  other,1,232
no panic attacks  discrete period of intense fear ,123,232
sleep walking  amnesia for episode,1,232
sleep disorder symptoms,66,232
repeated wakening form sleep with frightening dreams,2,232
sleep disruption  dyssomnias signs and symptoms,3,232
repeated insistence that they are other sex,4,232
sleep terror  intense fear on awakening,77,232
perceptual symptoms,29,233
disturbance develops over a shot period of time,4933,233
cns disturbance  seizures  fatigue ,2919,233
executive function intact,24,233
perceptual disturbance,2412,233
disturbance of consciousness,6768,233
disturbance in executive functioning,29563,233
formed,1,233
memory disturbance,7846,233
disturbance in sleep wake cycle,994,233
intense arousal involving cross dressing,11,234
intense arousal to expose one s self,11,234
impulsive self destruction   sexually  substance reckless binge eating ,477,234
intrusive nonsense sounds  words  or music,75,234
intense behaviors to expose one s self,21,234
intense urges to expose one s self,35,234
impulsive  self damaging  i e  spending  sex  substance abuse   reckless driving   binge eating ,4802,234
intense desire to expose one s self,33,234
intense desire involving cross dressing,8,234
cravings,19483,235
poor impulse control,39687,235
poor appetite or overeating,51590,235
poor relationship with sibling,12551,235
binge eating,30149,235
economic status poor,20654,235
poor grades,15249,235
compulsive overeating,975,235
overeating,123,235
disconnected,17268,236
intermittently connected,155,236
isolated,5176,236
detached,2062,236
isolation,48838,236
wired,169,236
isolated,21508,236
feels isolated from valued communities,189,236
avoidance of distress from  being outside the home alone,142,237
decreased interest,78,237
sexual acting out,396,237
responds minimally to comfort offered to alleviate distress ,99,237
distress over sexual patterns,322,237
decreased ability to shower bathe,161,237
decreased sexual interest,354,237
is physically active,7260,238
physically cruel to animals,23330,238
emotionally abused,1551,238
physically cruel to people,41976,238
physically abused,25146,238
poor handwriting,1669,239
poor environment,2604,239
poor peer relationships,2729,239
poor relationship with spouse,2053,239
poor insight  lack of awareness ,7323,239
poor relationship with friends,5230,239
poor relationship with children,1893,239
poor money management savings,6312,239
enuretic outside of home,6033,240
chaotic atmosphere at home,5780,240
abusive atmosphere at home,2634,240
abusive atmosphere at home,2106,240
ran away,134,240
chaotic atmosphere at home,5958,240
removal from the home,1428,240
removal from the home,5487,240
incontinent of feces outside of home,4260,240
abusive chaotic home,2294,240
ran away from home overnight,26072,240
job skills associated with psychoactive substances,38,241
stopped exercising,38,241
unusual mannerism s,484,241
unusual mannerism,114,241
stopped exercising,12,241
stopped hobbies,25,241
irritable when trying to control or stop gambling,39,241
stop looking for a job,152,241
unusual perceptual experiences,5285,241
stopped exercising,10,241
stopped looking for a job,85,241
stopped hobbies,1,241
type of friends,1489,242
doubts about trustworthiness loyalty of friends,2,242
diabetes mellitus type ii niddm,1460,242
diabetes mellitus type i iddm,1192,242
few friends,26200,242
no friends,3471,242
diabetes mellitus,60,242
few friends or confidants,5954,242
preference for friends of the other sex,919,242
diabetes mellitus,456,242
checking that nothing terrible did will happen,280,243
checking locks  stove  appliances  etc ,1192,243
showering  bathing,6,243
cleaning objects around the house,834,243
cleaning,37,243
checking that you did not make a mistake,293,243
dirty,11,243
other cleaning or washing,1271,243
checking to make sure a part of the body is working,72,243
continued use despite interpersonal problem,168790,244
lbp,41,244
other side effects,41,244
continued despite knowledge of adverse effects,646667,244
lack of social or emotional reciprocity,99810,244
continue aod use despite psychological problems,79361,244
continued use despite psychological problem,57850,244
deficits in social interpersonal skills,150178,244
continued use despite knowledge of physical problems,81897,244
continued use despite knowledge of psychological problems,102082,244
continued use despite social problems,112566,244
social or interpersonal problems caused by continued use,266855,244
rampant drug us in neighborhood,6,245
rampant drug use at work,974,245
alcohol drug dependence,634,245
rampant drug us at work,1,245
rampant drug us at work,108,245
iv drug use,685,245
rampant drug us in neighborhood,330,245
anhedonia reduced interest  depression psychiatric signs and symptoms,15,246
reduced ability to focus  sustain attention,3,246
discord with social worker,115,246
reduced affect,8,246
no anhedonia reduced interest,23,246
no anhedonia reduced interest,71,246
reduced ability for relationships,212,246
reduced or absent social and emotional reciprocity  e g   reduced affect sharing  social referencing  turn taking  and eye contact  ,314,246
severe disturbance in eating behavior,24960,247
emotional abuser,62,247
with behavioral disturbance,584,247
emotional coldness   detachment  flattened affect,2,247
severe anorexia,245,247
emotional disturbance,183,247
behavioral disturbance,655,247
emotional speech,48,247
emotional,73,247
have had medical problems,82542,248
acknowledges problems,283560,248
acknowledges mi problems,79361,248
acknowledges problem,3,248
acknowledges sa problems,79361,248
other academic problems,28584,248
behavioral problems,49630,248
no academic problems,3414,248
pregnancies,12,249
delivery complications,7,249
unplanned pregnancy,77424,249
other birth complications,442,249
other birth complications,2,249
medical condition,155,249
oxygen needed at birth,6,249
delivery complications,16,249
premature birth,493,249
miscarriage,434,249
delivery complications,1,249
premature ejaculation,24,249
withdrawal   develop syndrome due to cessations,2916,250
increased social withdrawal ,2492,250
fasting,296,250
increased lability,1646,250
significant weight gain or significant weight loss,439302,250
significant impairment in functioning  academic  occupation  social ,168957,250
significant substance cravings,30542,250
significant preoccupation with substance,32580,250
fasting to prevent weight gain,11367,250
increased tension before theft,1087,250
significant change in appetite,4842,250
withdrawal,863,250
significant other an active substance abuser,4376,250
withdrawal   develop clinically significant distress,6619,250
localized weakness,98,251
motor symptoms  aphonia paralysis  localized weakness ,4366,251
lethargy,3,251
eeg generalized slowing,2,251
numbness,1405,251
lethargy,6100,251
shakiness,50852,251
paresthesias,1235,251
pain symptoms localized to upper limbs,1234,251
generalized rashes,66,251
unsteadiness,14,251
leaden paralysis,758,251
generalized pain syndromes,1164,251
sluggishness,57,251
paresthesias  numbness  tingling sensations ,70657,251
paralysis or localized weakness,1150,251
acts as if  driven by a motor ,2,252
motor vehicle accident,17,252
poor motor planning and clumsiness   i       caused by a poorly developed body schema   a consequence of underreactivity to tactile and proprioceptive input,13,252
poor abstracting ability,9,252
motor tics of the truck,15,252
persistently and excessive worry about events leading to separation,4,252
motor stereotypies,10,252
single motor tic,16,252
repetitive nonfunctional motor movement,8,252
cold intolerance,2889,253
hostility,4576,253
bitterness,36,253
resentment,273,253
weariness,110,253
frustration,5698,253
intolerance to many foods,773,253
indecisiveness,11609,253
apathy,228,253
cold,19,253
indifference,1596,253
distrust,328,253
often fidgets with hands feet  attention deficit and hyperactivity signs and symptoms,2,254
mathematical difficulties in excess of those usually associated with sensory deficit,24,254
often actively defies adults  requests rules  disruptive disorders signs and symptoms,2,254
often does not follow through on instructions  attention deficit and hyperactivity signs and symptom,4,254
often  on the go     acts as if  driven by a motor   attention deficit and hyperactivity signs and s,2,254
deficit in sexual arousal,110,254
sensory deficit present,12,254
often forgetful in daily activities  attention deficit and hyperactivity signs and symptoms,2,254
other ways to prevent or remove contact w germs,434,255
other concerns about contamination,96,255
concern about sticky substances or residues,203,255
concern with sacrilege or blasphemy,115,255
other ways to prevent or remove contact with germs,65,255
excess concern about right and wrong  or morality,645,255
concern with illness or disease,1004,255
concern about getting sick due to contamination,574,255
concern with dirt or germs,1424,255
shouting,581,256
crying spells,59060,256
cursing,1,256
crying,3662,256
barking,2479,256
muttering,9,256
dissociative symptoms  amnesia loss of consciousness ,1982,257
memory     at          at   ,1,257
impairment in memory,22,257
dissociative amnesia,3349,257
dissociative trance,2632,257
no memory impairment,112,257
dissociative symptoms,594,257
long term memory impairment,77,257
memory     at   ,48,257
rapid breathing,49,257
dissociative episodes  i e  dissociative trace  loc not due to gmc ganser s ,4825,257
rapid onset of symptoms,100,257
dissociative disorder,81,257
history of conviction,4501,258
concussion with loc      hours,1,258
dui dwi,4,258
concussion with  loc      hours,232,258
concussion with  loc      hours,213,258
dui   dwi,59549,258
dui,13829,258
history of trauma  mental or physical ,4774,258
dwi,3,258
concussion with no loc,4,258
doobie,18,258
touchy easily annoyed by others,321,259
easily influenced by others easily influenced by circumstances,2944,259
easily influenced by others,18,259
easily distracted,560,259
easily influenced by others   easily influenced by circumstances,6978,259
autonomic disturbance  urinary retention ,112,260
genital appearance,227,260
abnormal positioning of muscles head,17,260
involuntary rhythmic movement of jaw,64,260
head injuries,1,260
closed head injury,1,260
sensation of slowed time,24,260
head appearance,182,260
abnormal positioning of muscles neck,11,260
deceleration of previously normal head growth,138,260
laid off from job,5256,261
shifting goals,166,261
shifting career plans,220,261
quit job,1811,261
lost job  relationship or education due to gambling,2504,261
career plans,1,261
retired,11,261
unhappy with career choice,719,261
job dissatisfaction,2370,261
fired from job,5358,261
unhappy with career choice,89,261
fired from job,8737,261
visual hallucinations unspecified,75,262
gustatory hallucinations unspecified,22,262
auditory hallucinations of a single voice male,572,262
auditory hallucinations of single voice female,964,262
mutism,84,262
unspecified symptom,3,262
unspecified hallucinations,23,262
echopraxia,22,262
no hallucinations,176,263
olfactory hallucinations of burning smell,117,263
threatening meaning in remarks events,15,263
command hallucinations,215,263
olfactory hallucinations of other smells,196,263
hallucinations auditory,223,263
auditory hallucinations of a single voice female,415,263
auditory hallucinations of an isolated name being called,388,263
enduring pattern of pervasive inflexibility,491,264
lack of recovery based social group,10268,264
pervasive lack of reactivity,575,264
lack of remorse  rationalizing injury to others ,16579,264
enduring deviation of affective lability,218,264
lack of spontaneous seeking to share enjoyment,68340,264
lack of spontaneous make believe play,11586,264
lack of control over eating,21198,264
lack of selectivity in choice of attachment figures,15355,264
avoidance of distress from  traveling in a train,2,265
often has difficulty organizing tasks activities  attention deficit and hyperactivity signs and symp,2,265
avoidance of  distress from  standing in a line,1,265
avoidance of  distress from  other,102,265
avoidance of  distress from  traveling in a bus,24,265
anxiety  avoidance of  urinating in public bathroom,105,265
avoidance of distress from  standing in a line,22,265
avoidance of distress from  traveling in a plane,102,265
avoidance of  distress from  being on bridges,17,265
anxiety about  traveling in a bus,103,265
reduced interest,18212,266
anhedonia or reduced interest,1097530,266
diminished interest,39572,266
reduced ability to focus  or sustain attention,17297,266
anhedonia reduced interest,30240,266
anhedonia,103173,266
shows diminished range of affect,700,266
failure to gain weight,725,267
recurrent failure to resist impulse to steal objects,1649,267
recurrent panic attacks,1582,267
caretaker disregard of basic emotional needs,24111,267
heart failure,448,267
failure to resist impulses to steal objects,390,267
caretaker disregard of basic physical needs,25938,267
nausea vomiting,83,268
fainting,54,268
diarrhea,30672,268
dizziness,754,268
vomiting,1240,268
nausea  vomiting,63457,268
coughing,4448,268
bloating,689,268
nausea or vomiting,5047,268
nausea  abdominal distress,110516,268
nausea,4865,268
headache,108,269
headaches,15590,269
head injury,1873,269
head injury,1188,269
head injuries,208,269
headaches migraines,2140,269
heartburn,84,269
head pain  headache ,3430,269
head injuries,337,269
headaches,2698,269
head banging,313,269
preoccupation with fear idea of having a disease,1001,270
fear cued by specific social situations,1033,270
fear of acting on unwanted impulses,799,270
preoccupation continues despite medical evaluation,137,270
preoccupation with defect in appearance,461,270
worthlessness or guilt,1158294,271
worthlessness,83651,271
chronic feelings of emptiness and loneliness,120788,271
guilty feelings,147,271
hopelessness,68625,271
loneliness,7091,271
extensive guilt,27515,271
guilty affect,45,271
guilt,10526,271
emptiness,135,271
remorse,2,271
murder,459,272
crime,1193,272
other crimes,2872,272
other crimes,2,272
murder,1,272
other crimes,584,272
rape,28,272
persistent and excessive worry about losing attachment figures,343,273
persistent  excessive worry that an untoward event  e g  getting lost or being kidnapped  will lead to separation from a major attachment figure ,296,273
persistent reluctance or refusal to go to sleep without the presence of a major attachment figure,357,273
self contemptuous affect,2,273
reckless disregard for safety of self,6,273
behavior involving touching non consenting person,7,273
self stimulation and rhythmic behavior  both under  and over  reactivity,7,273
two or more of these identities  personalities control one s behavior,6,273
egotistical,69,274
narcissistic,65,274
conceited,2,274
haughty,2,274
obstinate,59,274
overbearing,310,274
pushy,536,274
vindictive,481,274
arrogant haughty behavior attitude,7509,274
argumentative,1709,274
aloof,96,274
arrogant,109,274
verbose,36,275
emphatic,41,275
aggressive,4721,275
attentive,96,275
forceful,279,275
talkative,3047,275
dramatic,137,275
outspoken,387,275
effusive,108,275
assertive,80,275
more talkative,507383,275
defiant,1118,275
bold,102,275
candid,37,275
stealing shinning object,347,276
stealing,10189,276
professional thief,68,276
stole while confronting a victim,11710,276
stole items without confronting a victim,45825,276
stealing for stealing sake,575,276
stealing is not for monetary gain or vengeance,205,276
shoplifted,3,276
fear of harming oneself,5462,277
fear of going crazy,3030,277
fear of gaining weight,3140,277
fear of confiding information will be used against them,6269,277
reluctant to take risks try because of fear of embarrassment,5186,277
fear of becoming fat,2890,277
fear avoidance of abandonment,3075,277
fear of harming others,6641,277
reluctant to delegate tasks,3679,277
truancy,104,278
unemployment,5338,278
uninsured,222,278
homelessness,3229,278
truancy,13174,278
unemployment,67243,278
alogia  poverty of speech ,1300,278
halftime employment,2600,278
overworked juvenile protective officers,5,278
housing,2001,278
victim of crime,2,278
no housing problems,3211,278
juvenile delinquency,4509,278
homelessness,45183,278
juvenile delinquency,2032,278
cranial nerve sensory organ impairment  blindness  double vision  hearing loss ,480,279
judgment age appropriate,1,279
judgment intact,3,279
loss of play skills,281,279
loss of acquired purposeful hand skills between   and    months,469,279
loss of social engagement early in course of disorder,644,279
loss of motor skills,277,279
deprivation,35235,280
illiteracy,12,280
emaciation,2231,280
malnutrition,651,280
ptsd,1127,280
starvation,3301,280
illiteracy,1127,280
exacerbation of ulcers,2,281
thyroiditis,3,281
hypophosphatemia,863,281
esophagitis,167,281
vasovagal,1,281
lacrimination or rhinorrhea,1699,281
esophagitis,24,281
lacrimation,1348,281
hypokalemia,2408,281
leukopenia,825,281
diaphoresis,8,281
rhinorrhea,1416,281
unsuccessful efforts to reduce,32234,282
attempts at alternative mode of communication,966,282
extreme poverty,1577,282
attempts to ignore or suppress thoughts,107666,282
unsuccessful efforts to cut down or cravings,674092,282
extreme negativism,892,282
extreme poverty,5974,282
refuses others  attempts to provide comfort,217,282
unsuccessful effort to reduce substance use,1428,282
unsuccessful attempts for aod recovery,79286,282
extreme attempts to obtain support from others,11184,282
unsuccessful efforts to control or stop gambling,3876,282
neurological signs or symptoms,932,283
withdrawal   characteristic withdrawal or taken to avoid symptoms,513929,283
athetoid movement,366,283
isolative withdrawn,4546,283
other movement symptoms,1604,283
focal neurological signs,135,283
choreiform movement,466,283
signs of withdrawal,809985,283
stupor drowsiness,4,284
stupor,66,284
stupor or coma,4296,284
seizures,31686,284
seizures,1966,284
coma,120,284
drowsiness or coma,375,284
grand mal seizures,1143,284
seizures or coma,1266,284
occupational problem,5955,285
memory impairment,18315,285
impairment in attention or memory,15574,285
occupational impairment,26092,285
occupational problems,3365,285
other mathematical impairments,5604,285
other written impairments,7188,285
other paraphilia,396,286
anorgasmia,94,286
deja vu,547,286
zoophilia,70,286
paraphilia,4,286
erectile dysfunction,935,286
necrophilia,2,286
pedophilia,13,286
voyeurism,210,286
obsessions,52605,286
incest,212,286
folie a deux,7,286
jamai vu,7,286
impotence,30,286
ejaculatory dysfunction,235,286
fetishism,25,286
panic attack symptoms,5436,287
panic attacks  discrete period of intense fear ,16562,287
worry about going crazy,869,287
does not meet criteria for panic,237,287
worry about health,1809,287
worry about losing control,1583,287
worry about panic attack,2313,287
psychosis,10672,288
transient stress related dissociative symptoms or psychotic symptoms,68275,288
postpartum onset,215,288
schizophrenia,1497,288
transient cross dressing,720,288
postpartum psychosis,9240,288
transient hallucinations,1173,288
etiology of psychosis is unknown,24947,288
repeated complaints of physical symptoms on separation,73,289
pleasureful,65,289
repeated changes of caretaker,111,289
repeated thoughts about needing to hoard things,90,289
repeated nightmares involving the theme of separation ,66,289
sensorium clouded,31,290
sensorium full,19,290
